id;tel_number;message;created_timestamp;uuid_device;is_sending;sending_timestamp;is_send;send_timestamp;alert_type;feature_send
1;Fresh plum;Ergonomic Rubber Sausages Sleek Fresh Chips Berkshire;2021-02-13T04:48:24;e-business;false;2021-02-13T17:22:38;false;2021-02-13T10:10:13;UNKNOWN;2021-02-13T19:11:22
2;payment;methodology;2021-02-13T21:39:53;Mayotte 1080p robust;true;2021-02-13T18:55:55;false;2021-02-13T03:35:03;WARN;2021-02-13T19:11:07
3;GB Fresh;Steel;2021-02-13T18:46:27;extend world-class SDD;false;2021-02-13T21:58:48;true;2021-02-13T05:57:15;DEBUG;2021-02-13T16:19:13
4;website Versatile deposit;Chair;2021-02-13T01:39:25;Outdoors Customer-focused bluetooth;true;2021-02-13T19:01:08;true;2021-02-13T01:13:13;WARN;2021-02-13T01:45:31
5;Persistent;back-end Chad;2021-02-13T06:56:30;Generic Tools indexing;true;2021-02-13T17:33:03;false;2021-02-13T02:31:33;DEBUG;2021-02-13T04:34:01
6;Corporate Functionality zero administration;Forest compressing analyzer;2021-02-13T02:40:24;Bedfordshire override Grocery;true;2021-02-13T15:08:45;false;2021-02-13T19:28:36;UNKNOWN;2021-02-13T10:02:31
7;Garden;Investor;2021-02-13T18:23:21;Compatible haptic;true;2021-02-13T03:10:30;true;2021-02-13T01:32:47;INFO;2021-02-13T22:14:55
8;Open-architected synthesizing;Outdoors Internal;2021-02-13T00:05:37;Martinique;false;2021-02-13T14:29:32;true;2021-02-13T22:41:52;DEBUG;2021-02-13T01:50:29
9;Delaware Sleek reboot;Product Granite;2021-02-13T16:31:16;solutions Metal;true;2021-02-13T04:55:55;true;2021-02-13T09:49:49;ERROR;2021-02-13T15:15:13
10;IB East Caribbean Dollar;protocol ivory bypassing;2021-02-13T22:58:17;Money Market Account;false;2021-02-13T12:57:10;true;2021-02-13T16:58:36;ERROR;2021-02-13T14:12:51
